embedding_model,chat_model,faithfulness_score,semantic_similarity,file
text-embedding-3-large,deepseek-r1:70b,0.7645987182751888,0.9363840980949135,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,chatgpt-4o-latest,0.7936751615544186,0.9271080903951956,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,qwen2.5:32b,0.7826005693652752,0.9299790048490019,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,mistral-small3.1,0.7412065331182978,0.9310023589405345,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,llama3.3,0.7763597241538419,0.9358193248115741,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,llama3.2,0.7784951460648054,0.9345811599302349,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,gemma3:12b,0.7773342670401494,0.929798082746608,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,chatgpt-4o-latest,0.7455846169081464,0.9356445565379758,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,qwen2.5:32b,0.7424566131609474,0.9340032286100108,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,gemma3:12b,0.782114562996916,0.9368238134269056,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,phi4,0.7928423156364331,0.9358647812340446,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,llama3.2,0.7528762359644715,0.9238314764675968,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,llama3.3,0.7658971827224422,0.9290789048238887,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,gemma3:27b,0.7453348394524864,0.9283268953605261,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,deepseek-r1,0.7862122898887604,0.9241716977102389,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,gemma3:27b,0.7662500353676824,0.9243625453371189,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,phi4,0.7349582062817356,0.9228062158143996,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,deepseek-r1:70b,0.7518865185820202,0.9259901218305834,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,mistral-small3.1,0.7640274757921818,0.9301119189239869,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,gemma3,0.7782997367556191,0.9221748403827326,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,gemma3,0.8041870166870168,0.9340706127580184,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,deepseek-r1,0.7576293404148077,0.931842988435183,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
