embedding_model,chat_model,faithfulness_score,semantic_similarity,file
text-embedding-3-large,deepseek-r1:70b,0.8010180375180375,0.9397634299478729,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,chatgpt-4o-latest,0.8226321287408244,0.9380725097404721,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,qwen2.5:32b,0.8130298093719146,0.9381291195549134,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,mistral-small3.1,0.7939502719502718,0.9463604841826839,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,llama3.3,0.7572373737373737,0.9383172552987976,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,llama3.2,0.7845367965367964,0.9424874889715636,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,gemma3:12b,0.7798070175438596,0.9282892506960246,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,chatgpt-4o-latest,0.7838677352059704,0.939531803831178,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,qwen2.5:32b,0.7714769119769119,0.9450349314817725,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,gemma3:12b,0.7781000111000113,0.9359971893763784,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,phi4,0.787836940836941,0.9296218392250306,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,llama3.2,0.8011450216450217,0.936066621021649,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,llama3.3,0.7778098845598846,0.9348579979834536,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,deepseek-r1,0.7798481240981241,0.9317679350520099,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,phi4,0.7804010270774975,0.9242739382519161,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,deepseek-r1:70b,0.8054148629148631,0.9341575544238806,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
mxbai-embed-large,mistral-small3.1,0.7650406260406261,0.9290504269334694,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
text-embedding-3-large,deepseek-r1,0.8585076823761032,0.9429697972064115,./out/evaluation_results_text-embedding-3-large-deepseek-r1.pkl
